"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"Mu","*","*","*","*","*","*","10.7547240477437","11.398995870046","14.14606545961","1.39451270507897","*","*","11.2199781659388","*","9.06799233889135"
"Mp","2289.00000000001","1858.99999999999","1792.00000000001","8.63578947368417","1853","13.1747368421053","1.17021098870445","3.00071398653633","*","1.81598289241307","2141.99999999999","1923","*","1990","*"
"Mc","8546.86609276266","5.22491946500187e+37","5.26796247825649e+29","9.70973133227817","322651529.808554","31.2121579910014","*","*","1.46178001577339","*","1503111.82001225","518621.816826348","1.66295174598588","18146899039.6297","1.42205561852203"
