"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"Mu","*","*","*","*","*","*","3.84300791242507","3.03855587505648","6.25318365898194","*","*","*","4.24580128708209","*","3.26519363496934"
"Mp","1994.88","5316.00000000002","5218.99999999998","21.4473563218391","5361.99999999998","20.8493233082707","1.10231517477157","2.23508733053363","1.27805520672264","2.76075880758808","6134.99999999999","5616.00000000002","*","5622.99999999999","*"
"Mc","11519.2854723413","7.65627134068284e+37","9.37419815889827e+29","19.8349498565551","445342360.324382","56.3218757873177","*","*","*","1.61357820739923","2552545.00837902","1138324.06634462","1.76569278299719","34391735937.0472","1.46135785439381"
