"","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15"
"Mu","*","*","*","*","*","*","1.69588688253877","1.88412276934467","2.22202615350323","*","*","*","2.39959765007899","*","2.07632429579788"
"Mp","15.9629931972789","13738","13732","2.94654277475169","13624.9999999999","1.61212235294118","*","2.7345345505719","*","1.71321853364104","14532","13989","*","13906","*"
"Mc","85.2014957905573","7.53775325921694e+34","4.05673343591649e+27","3.74198596367215","2287607.71323083","5.57698008864284","1.37658138406488","*","1.240019941471","1.34979136690898","48621.2045784987","122518.003559971","2.13149418356918","1195259941.71348","1.83092733743246"
